DATE,PPCEND,PCEND,CNP16OV,SP500,GS1
1/1/59,19.874,125.1,114582,55.41,3.36
1/2/59,19.882,125.4,114712,55.44,3.54
1/3/59,19.868,127.7,114849,57.59,3.61
1/4/59,19.88,125.6,114986,58.68,3.72
1/5/59,19.858,128,115144,58.47,3.96
1/6/59,19.903,127.9,115287,60.51,4.07
1/7/59,19.923,127.3,115429,59.6,4.39
1/8/59,19.962,127.9,115555,56.88,4.42
1/9/59,20.013,129.4,115668,57.52,5
1/10/59,20.062,129.8,115798,58.28,4.8
1/11/59,20.028,129,115916,59.89,4.81
1/12/59,20.032,129.7,116040,55.61,5.14
1/1/60,20,129.6,116594,56.12,5.03
1/2/60,20.001,128.4,116702,55.34,4.66
1/3/60,20.037,130.8,116827,54.37,4.02
1/4/60,20.163,134.1,116910,55.83,4.04
1/5/60,20.154,130.3,117033,56.92,4.21
1/6/60,20.15,131.5,117167,55.51,3.36
1/7/60,20.182,132.2,117281,56.96,3.2
1/8/60,20.227,131.4,117431,53.52,2.95
1/9/60,20.238,131.1,117521,53.39,3.07
1/10/60,20.272,132.6,117643,55.54,3.04
1/11/60,20.343,133.1,117829,58.11,3.08
1/12/60,20.373,131.5,118001,61.78,2.86
1/1/61,20.368,132.3,118155,63.44,2.81
1/2/61,20.378,133.3,118250,65.06,2.93
1/3/61,20.334,134.6,118358,65.31,2.88
1/4/61,20.241,133.9,118503,66.56,2.88
1/5/61,20.223,134.3,118638,64.64,2.87
1/6/61,20.189,134.5,118767,66.76,3.06
1/7/61,20.253,133.9,118889,68.07,2.92
1/8/61,20.265,134.6,119006,66.73,3.06
1/9/61,20.248,135.3,119107,68.62,3.06
1/10/61,20.224,135.3,119202,71.32,3.05
1/11/61,20.226,136.3,119153,71.55,3.07
1/12/61,20.202,136.9,119214,68.84,3.18
1/1/62,20.235,137.2,119300,69.96,3.28
1/2/62,20.323,137.4,119360,69.55,3.28
1/3/62,20.331,138.9,119476,65.24,3.06
1/4/62,20.38,139,119702,59.63,2.99
1/5/62,20.353,139.5,119813,54.75,3.03
1/6/62,20.317,137.8,119943,58.23,3.03
1/7/62,20.255,138.2,120128,59.12,3.29
1/8/62,20.309,139.2,120323,56.27,3.2
1/9/62,20.545,142.5,120653,56.52,3.06
1/10/62,20.494,141,120856,62.26,2.98
1/11/62,20.49,141.7,121045,63.1,3
1/12/62,20.443,141.8,121236,66.2,3.01
1/1/63,20.516,142.8,121463,64.29,3.04
1/2/63,20.533,141.9,121633,66.57,3.01
1/3/63,20.467,142.7,121824,69.8,3.03
1/4/63,20.441,142.1,121986,70.8,3.11
1/5/63,20.467,142.4,122162,69.37,3.12
1/6/63,20.548,143.9,122352,69.13,3.2
1/7/63,20.632,144.7,122521,72.5,3.48
1/8/63,20.684,146.5,122667,71.7,3.53
1/9/63,20.591,144.3,122821,74.01,3.57
1/10/63,20.628,144,123014,73.23,3.64
1/11/63,20.675,145,123192,75.02,3.74
1/12/63,20.73,146.9,123360,77.04,3.81
1/1/64,20.799,147.2,123560,77.8,3.79
1/2/64,20.805,148.9,123707,78.98,3.78
1/3/64,20.8,149.8,123857,79.46,3.91
1/4/64,20.805,149.4,124019,80.37,3.91
1/5/64,20.772,152.3,124204,81.69,3.84
1/6/64,20.814,152.7,124386,83.18,3.83
1/7/64,20.848,154.3,124567,81.83,3.72
1/8/64,20.834,155.5,124731,84.18,3.74
1/9/64,20.897,154.8,124920,84.86,3.84
1/10/64,20.91,155.8,125108,84.42,3.86
1/11/64,20.945,153.6,125291,84.75,3.91
1/12/64,20.978,157.9,125468,87.56,4.02
1/1/65,21.001,157.3,125647,87.43,3.94
1/2/65,20.987,159,125810,86.16,4.03
1/3/65,21.036,157,125985,89.11,4.06
1/4/65,21.092,160,126155,88.42,4.04
1/5/65,21.161,161.3,126320,84.12,4.03
1/6/65,21.366,161,126499,85.25,3.99
1/7/65,21.37,163.8,126573,87.17,3.98
1/8/65,21.317,163.4,126756,89.96,4.07
1/9/65,21.281,165,126906,92.42,4.2
1/10/65,21.321,170.6,127043,91.61,4.3
1/11/65,21.348,169.8,127171,92.43,4.37
1/12/65,21.444,171.2,127294,92.88,4.72
1/1/66,21.525,172.5,127394,91.22,4.88
1/2/66,21.674,174.3,127514,89.23,4.94
1/3/66,21.774,175.4,127626,91.06,4.97
1/4/66,21.846,177.7,127744,86.13,4.9
1/5/66,21.825,176.2,127879,84.74,4.93
1/6/66,21.852,177.9,127983,83.6,4.97
1/7/66,21.867,179.7,128102,77.1,5.17
1/8/66,22.02,179.1,128240,76.56,5.54
1/9/66,22.096,180.5,128359,80.2,5.82
1/10/66,22.124,180,128494,80.45,5.58
1/11/66,22.13,180.7,128627,80.33,5.54
1/12/66,22.142,180.5,128730,86.61,5.2
1/1/67,22.124,181.5,128909,86.78,4.75
1/2/67,22.135,182.7,129032,90.2,4.71
1/3/67,22.119,182.9,129190,94.01,4.35
1/4/67,22.109,183.6,129344,89.08,4.11
1/5/67,22.143,183.6,129515,90.64,4.15
1/6/67,22.229,184.9,129722,94.75,4.48
1/7/67,22.321,183.7,129918,93.64,5.01
1/8/67,22.405,185.8,130187,96.71,5.13
1/9/67,22.454,187.8,130392,93.3,5.24
1/10/67,22.482,185.1,130582,94,5.37
1/11/67,22.566,187.8,130754,96.47,5.61
1/12/67,22.583,190.7,130936,92.24,5.71
1/1/68,22.701,191.3,131112,89.36,5.43
1/2/68,22.791,193,131277,90.2,5.41
1/3/68,22.84,196.4,131412,97.46,5.58
1/4/68,22.914,195.8,131553,98.68,5.71
1/5/68,23.008,197.3,131712,99.58,6.14
1/6/68,23.059,200.3,131872,97.74,5.98
1/7/68,23.123,202.6,132053,98.86,5.65
1/8/68,23.228,203.7,132251,102.67,5.43
1/9/68,23.289,202.2,132446,103.41,5.45
1/10/68,23.404,203.5,132617,108.37,5.57
1/11/68,23.47,207,132903,103.86,5.75
1/12/68,23.494,204.5,133120,103.01,6.19
1/1/69,23.586,207.3,133324,98.13,6.34
1/2/69,23.602,209.3,133465,101.51,6.41
1/3/69,23.703,209.9,133639,103.69,6.34
1/4/69,23.837,210.8,133821,103.46,6.26
1/5/69,23.93,213.6,134027,97.71,6.42
1/6/69,24.113,212.3,134213,91.83,7.04
1/7/69,24.221,214.6,134414,95.51,7.6
1/8/69,24.273,217.3,134597,93.12,7.54
1/9/69,24.39,216,134774,97.12,7.82
1/10/69,24.412,219.2,135012,93.81,7.64
1/11/69,24.549,219.3,135239,92.06,7.89
1/12/69,24.698,220.7,135489,85.02,8.17
1/1/70,24.799,224.5,135713,89.5,8.1
1/2/70,24.907,224,135957,89.63,7.59
1/3/70,24.902,225,136179,81.52,6.97
1/4/70,25.071,224.7,136416,76.55,7.06
