"","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","AREA","POP1990","POP1999","POP90_SQMI","HOUSEHOLDS","MALES","FEMALES","WHITE","BLACK","AMERI_ES","ASIAN_PI","OTHER","HISPANIC","AGE_UNDER5","AGE_5_17","AGE_18_29","AGE_30_49","AGE_50_64","AGE_65_UP","NEVERMARRY","MARRIED","SEPARATED","WIDOWED","DIVORCED","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","MEDIAN_VAL","MEDIANRENT","UNITS_1DET","UNITS_1ATT","UNITS2","UNITS3_9","UNITS10_49","UNITS50_UP","MOBILEHOME","NO_FARMS87","AVG_SIZE87","CROP_ACR87","AVG_SALE87","FIPS_TXT","STATE_FIPS.1","CNTY_FIPS.1","USA_COUNTY","PRECINCTS","REPORTING","GORE","BUSH","BUCHANAN","NADER","BROWNE","HARRIS","PHILLIPS","SCHRINER","STRICKLND","MOREHD","HAGELIN","DODGE","MCRYNLD","SMITH","VENSON","OTHERS","TOTAL_VOTE","GORE_PCT","BUSH_PCT","BUCH_PCT","NADER_PCT","BROWNE_PCT","HARRIS_PCT","PHILLIPS_P","SCHRINER_P","STRICKLND_","MOREHD_PCT","HAGELIN_PC","DODGE_PCT","MCRYNLD_PC","SMITH_PCT","VENSON_PCT","OTHERS_PCT","NA2","GORE_BUSH","WINNER","GORE_NOV26","GORE_CHANG","BUSH_NOV27","BUSH_CHANG"
"0","Lake of the Woods","Minnesota","27","077","27077",1784.0634,4076,4597,2,1576,2037,2039,4042,1,19,10,4,25,337,791,549,1122,584,693,538,2102,24,248,200,185,184,465,565,26,57,3050,1474,1332,244,40900,185,1927,14,24,29,80,0,937,222,536,83787,27958,"27077","27","077","LakeWoods",14,14,848,1216,33,74,4,"2",5,NA,NA,NA,5,NA,NA,NA,NA,NA,2187,0.387746,0.556013,0.015089,0.033836,0.001829,0.000914,0.002286,0,0,0,0.002286,0,0,0,0,0,NA,-368,"Bush",NA,NA,NA,NA
"1","Ferry","Washington","53","019","53019",2280.2319,6295,7150,3,2247,3280,3015,5084,20,1131,24,36,85,486,1499,887,1929,827,667,1118,2741,82,251,498,302,195,652,660,90,169,3239,992,1568,679,50100,197,2128,10,40,51,44,0,936,218,3489,29482,22155,"53019","53","019","Ferry",32,32,923,1877,39,115,NA,"1",11,"35",NA,"2",4,NA,"1",NA,NA,NA,3008,0.306848,0.624003,0.012965,0.038231,0,0.000332,0.003657,0.011636,0,0.000665,0.00133,0,0.000332,0,0,0,NA,-954,"Bush",NA,NA,NA,NA
"2","Stevens","Washington","53","065","53065",2529.9794,30948,39965,12,11241,15454,15494,28747,65,1807,179,150,483,2271,7486,3586,9605,4145,3855,4037,14795,384,1486,2096,1146,1210,3618,3591,292,731,14601,3360,8566,2675,55900,231,10388,109,133,324,264,0,3264,1073,490,131700,18138,"53065","53","065","Stevens",53,53,4685,9539,147,581,NA,"3",31,"139",NA,"13",14,NA,"4",NA,NA,NA,15156,0.309119,0.629388,0.009699,0.038335,0,0.000198,0.002045,0.009171,0,0.000858,0.000924,0,0.000264,0,0,0,NA,-4854,"Bush",NA,NA,NA,NA
"3","Okanogan","Washington","53","047","53047",5306.18,33350,38596,6,12654,16828,16522,27615,52,3597,166,1920,2779,2536,7051,4492,9749,4890,4632,5042,15320,561,1889,2406,1410,1633,3355,3946,401,933,16629,3975,8439,4215,50300,222,11281,147,346,816,286,0,3431,1476,907,144053,71970,"53047","53","047","Okanogan",83,83,3774,8301,123,607,NA,"2",39,"97",NA,"15",24,NA,"8",NA,NA,NA,12990,0.290531,0.63903,0.009469,0.046728,0,0.000154,0.003002,0.007467,0,0.001155,0.001848,0,0.000616,0,0,0,NA,-4527,"Bush",NA,NA,NA,NA
"4","Pend Oreille","Washington","53","051","53051",1445.0286,8915,11788,6,3395,4426,4489,8640,12,206,25,32,120,660,1963,996,2670,1384,1242,1124,4349,114,507,641,373,402,961,1157,75,229,5404,2009,2500,895,49500,237,3915,29,41,97,89,0,1185,227,276,22923,10367,"53051","53","051","Pend Oreil",24,24,1950,3028,60,231,NA,"1",26,"44",NA,"10",6,NA,"2",NA,NA,NA,5358,0.363942,0.565136,0.011198,0.043113,0,0.000187,0.004853,0.008212,0,0.001866,0.00112,0,0.000373,0,0,0,NA,-1078,"Bush",NA,NA,NA,NA
"5","Boundary","Idaho","16","021","16021",1279.2987,8332,9840,7,2857,4252,4080,7950,3,150,26,203,310,635,2065,1138,2351,1121,1022,1247,3935,89,391,480,300,299,938,928,55,164,3242,385,2237,620,49500,217,2393,7,31,107,34,0,643,297,267,51806,29463,"16021","16","021","Boundary",7,7,832,2797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"255",3884,0.214212,0.720134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065654,NA,-1965,"Bush",NA,NA,NA,NA
"6","Lincoln","Montana","30","053","30053",3746.0908,17481,18691,5,6668,8777,8704,17103,11,282,54,31,197,1250,3979,2175,5410,2525,2142,2265,8604,218,846,1177,820,734,2075,2127,166,369,8002,1334,4888,1780,48900,205,5349,44,103,219,198,0,1941,245,251,19418,9346,"30053","30","053","Lincoln",16,16,1629,5578,134,402,49,"22",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,7846,0.207622,0.710936,0.017079,0.051236,0.006245,0.002804,0.004079,0,0,0,0,0,0,0,0,0,NA,-3949,"Bush",NA,NA,NA,NA
"7","Flathead","Montana","30","029","30029",5232.0306,59218,72458,11,22834,29316,29902,57897,56,880,240,145,616,4211,12538,7480,19245,8028,7716,8150,28719,713,3004,4489,2484,3019,6721,7223,403,1400,26979,4145,16131,6703,64200,272,18087,578,700,1607,976,267,4463,825,313,105359,24714,"30029","30","029","Flathead",44,44,8305,22458,417,2033,209,"68",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,33748,0.246089,0.665462,0.012356,0.060241,0.006193,0.002015,0.007645,0,0,0,0,0,0,0,0,0,NA,-14153,"Bush",NA,NA,NA,NA
"8","Glacier","Montana","30","035","30035",3124.4572,12121,12524,4,3816,5985,6136,5258,11,6823,10,19,78,1337,3159,1892,3209,1364,1160,2275,4526,155,621,679,394,435,1258,824,162,483,4797,981,2325,1491,43800,147,3172,158,226,212,149,0,815,405,4065,484202,85215,"30035","30","035","Glacier",17,17,2210,1709,31,139,13,"14",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4123,0.536017,0.414504,0.007519,0.033713,0.003153,0.003396,0.001698,0,0,0,0,0,0,0,0,0,NA,501,"Gore",NA,NA,NA,NA
"9","Toole","Montana","30","101","30101",1943.2598,5046,4653,3,1922,2486,2560,4900,5,118,16,7,36,367,1110,606,1457,687,819,723,2432,46,294,306,264,302,542,594,35,102,2354,432,1381,541,39100,189,1713,19,47,121,84,0,341,393,2879,671593,74509,"30101","30","101","Toole",12,12,630,1639,24,77,8,"0",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2386,0.26404,0.686924,0.010059,0.032272,0.003353,0,0.003353,0,0,0,0,0,0,0,0,0,NA,-1009,"Bush",NA,NA,NA,NA
"10","Liberty","Montana","30","051","30051",1485.9458,2295,2332,2,788,1120,1175,2278,3,11,3,0,4,189,543,258,635,313,357,296,1128,13,146,79,90,132,247,257,4,34,1007,219,565,223,41300,202,712,8,21,11,50,0,181,295,3167,-99,97342,"30051","30","051","Liberty",5,5,243,752,20,24,4,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,0.232759,0.720307,0.019157,0.022989,0.003831,0,0.000958,0,0,0,0,0,0,0,0,0,NA,-509,"Bush",NA,NA,NA,NA
"11","Hill","Montana","30","041","30041",2917.3611,17654,17299,6,6426,8788,8866,14729,19,2769,92,45,176,1499,3912,2890,5077,2140,2136,3083,7662,207,990,1077,775,906,1955,1698,136,511,7345,919,4056,2370,53200,228,4749,70,320,674,310,86,1052,713,2415,1136593,76698,"30041","30","041","Hill",24,24,2760,3392,71,278,36,"13",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6558,0.42086,0.517231,0.010826,0.042391,0.005489,0.001982,0.00122,0,0,0,0,0,0,0,0,0,NA,-632,"Bush",NA,NA,NA,NA
"12","Sheridan","Montana","30","091","30091",1686.5827,4732,4228,3,1899,2332,2400,4650,0,50,12,20,38,279,969,435,1267,759,1023,621,2433,38,374,220,226,295,502,680,28,77,2417,518,1463,436,39500,193,1782,12,24,175,65,0,343,600,1708,687985,41185,"30091","30","091","Sheridan",8,8,702,1176,17,62,5,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,0.357252,0.598473,0.008651,0.031552,0.002545,0.001018,0.000509,0,0,0,0,0,0,0,0,0,NA,-474,"Bush",NA,NA,NA,NA
"13","Divide","North Dakota","38","023","38023",1279.9633,2899,2305,2,1193,1447,1452,2880,1,9,6,3,7,159,533,254,712,464,777,400,1525,19,255,115,151,197,279,461,14,35,1667,474,950,243,27600,172,1387,10,23,134,3,0,98,599,1228,558077,39837,"38023","38","023","Divide",6,6,299,422,13,22,3,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,761,0.392904,0.554534,0.017083,0.028909,0.003942,0,0,0,0,0,0.002628,0,0,0,0,0,NA,-123,"Bush",NA,NA,NA,NA
"14","Burke","North Dakota","38","013","38013",1121.417,3002,2194,3,1252,1506,1496,2981,1,11,6,3,14,138,604,285,715,555,705,463,1558,9,263,111,158,211,302,463,18,26,1691,439,1024,228,19900,160,1381,12,9,55,12,0,204,525,1162,469745,33372,"38013","38","013","Burke",6,6,296,698,24,20,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1039,0.284889,0.6718,0.023099,0.019249,0,0,0.000962,0,0,0,0,0,0,0,0,0,NA,-402,"Bush",NA,NA,NA,NA
"15","Renville","North Dakota","38","075","38075",883.772,3160,2779,4,1209,1560,1600,3107,14,23,11,5,6,178,695,359,819,489,620,503,1583,20,233,113,133,167,360,412,15,43,1558,349,949,260,35000,198,1204,2,13,100,0,0,229,454,1111,446213,43184,"38075","38","075","Renville",5,5,443,820,26,35,4,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,1330,0.333083,0.616541,0.019549,0.026316,0.003008,0,0,0,0,0,0.001504,0,0,0,0,0,NA,-377,"Bush",NA,NA,NA,NA
"16","Bottineau","North Dakota","38","009","38009",1710.0681,8011,7113,5,3105,4030,3981,7928,6,58,15,4,16,486,1577,1066,2068,1139,1675,1402,3921,46,665,282,382,498,879,1033,41,104,4661,1556,2431,674,37400,193,3706,47,43,183,100,0,558,929,1078,873869,42628,"38009","38","009","Bottineau",16,16,1163,2326,67,94,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,3656,0.318107,0.636214,0.018326,0.025711,0.000821,0,0.000274,0,0,0,0.000547,0,0,0,0,0,NA,-1163,"Bush",NA,NA,NA,NA
"17","Rolette","North Dakota","38","079","38079",943.6554,12772,14336,14,4150,6262,6510,4211,28,8497,13,23,65,1414,3463,2168,3019,1378,1330,2785,4160,157,714,763,421,503,1206,786,186,749,4742,592,2692,1458,39400,108,3388,38,100,277,107,80,718,536,945,361270,37279,"38079","38","079","Rolette",5,5,2676,1410,134,136,11,NA,5,NA,NA,NA,14,NA,NA,NA,NA,NA,4386,0.610123,0.321477,0.030552,0.031008,0.002508,0,0.00114,0,0,0,0.003192,0,0,0,0,0,NA,1266,"Gore",NA,NA,NA,NA
"18","Towner","North Dakota","38","095","38095",1051.6146,3627,2950,3,1433,1817,1810,3566,2,53,5,1,5,287,688,423,894,517,818,600,1741,9,317,127,204,235,377,464,16,42,1770,337,1015,418,30900,206,1341,15,31,182,24,0,170,557,1132,559834,60094,"38095","38","095","Towner",5,5,407,688,38,28,2,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1163,0.349957,0.591574,0.032674,0.024076,0.00172,0,0,0,0,0,0,0,0,0,0,0,NA,-281,"Bush",NA,NA,NA,NA
"19","Cavalier","North Dakota","38","019","38019",1503.6905,6064,4896,4,2375,3032,3032,6011,4,45,4,0,8,427,1206,663,1532,1048,1188,915,3127,14,488,145,278,385,713,814,14,39,3038,663,1893,482,39300,193,2421,27,36,245,20,0,264,922,995,840482,64501,"38019","38","019","Cavalier",22,22,617,1507,154,73,4,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,2364,0.260998,0.637479,0.065144,0.03088,0.001692,0,0.003384,0,0,0,0.000423,0,0,0,0,0,NA,-890,"Bush",NA,NA,NA,NA
"20","Pembina","North Dakota","38","067","38067",1111.7749,9238,8375,8,3555,4577,4661,8997,14,148,12,67,87,619,1972,1054,2510,1371,1712,1464,4510,41,757,313,411,569,1097,1113,47,115,4294,739,2751,804,41700,191,3353,30,48,302,95,0,438,763,839,591424,129205,"38067","38","067","Pembina",18,18,1092,2425,134,109,7,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,3772,0.289502,0.642895,0.035525,0.028897,0.001856,0,0.00053,0,0,0,0.000795,0,0,0,0,0,NA,-1333,"Bush",NA,NA,NA,NA
"21","Kittson","Minnesota","27","069","27069",1095.0149,5767,5279,5,2274,2833,2934,5732,0,5,10,20,46,409,1097,644,1502,864,1251,868,2878,28,542,179,286,367,637,770,21,75,2865,591,1860,414,28000,167,2357,12,31,73,105,0,248,576,865,424855,86181,"27069","27","069","Kittson",38,38,1107,1353,88,68,3,"2",10,NA,NA,NA,6,NA,NA,NA,NA,NA,2637,0.419795,0.513083,0.033371,0.025787,0.001138,0.000758,0.003792,0,0,0,0.002275,0,0,0,0,0,NA,-246,"Bush",NA,NA,NA,NA
"22","Roseau","Minnesota","27","135","27135",1670.997,15026,16122,9,5415,7695,7331,14774,4,146,94,8,26,1443,3240,2676,3966,1671,2030,2371,7088,81,836,615,571,619,1918,1541,110,239,6236,821,4472,943,49400,256,4079,50,57,102,287,51,1514,1124,546,499540,44861,"27135","27","135","Roseau",44,44,2128,4695,124,176,24,"6",5,NA,NA,NA,6,NA,NA,NA,NA,NA,7164,0.297041,0.65536,0.017309,0.024567,0.00335,0.000838,0.000698,0,0,0,0.000838,0,0,0,0,0,NA,-2567,"Bush",NA,NA,NA,NA
"23","Blaine","Montana","30","005","30005",4226.2541,6728,7174,2,2379,3358,3370,4040,6,2664,6,12,54,638,1596,974,1779,852,889,1293,2703,88,392,355,291,336,668,618,79,250,2930,551,1479,900,40800,159,2221,21,83,121,86,0,376,529,4601,589125,73534,"30005","30","005","Blaine",12,12,1246,1410,26,58,6,"9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2758,0.451777,0.51124,0.009427,0.02103,0.002175,0.003263,0.001088,0,0,0,0,0,0,0,0,0,NA,-164,"Bush",NA,NA,NA,NA
