replicate,temp_hi1970_1985_panel,temp_hi1970_1990_panel,temp_hi1970_1995_panel,temp_hi1970_2000_panel,temp_hi1975_1990_panel,temp_hi1975_1995_panel,temp_hi1975_2000_panel,temp_hi1980_1995_panel,temp_hi1980_2000_panel,temp_hi1985_2000_panel,temp_hi1970_1985_diffs,temp_hi1970_1990_diffs,temp_hi1970_1995_diffs,temp_hi1970_2000_diffs,temp_hi1975_1990_diffs,temp_hi1975_1995_diffs,temp_hi1975_2000_diffs,temp_hi1980_1995_diffs,temp_hi1980_2000_diffs,temp_hi1985_2000_diffs,_merge,adapt1970_1985,tile1970_1985,adapt1970_1990,tile1970_1990,adapt1970_1995,tile1970_1995,adapt1970_2000,tile1970_2000,adapt1975_1990,tile1975_1990,adapt1975_1995,tile1975_1995,adapt1975_2000,tile1975_2000,adapt1980_1995,tile1980_1995,adapt1980_2000,tile1980_2000,adapt1985_2000,tile1985_2000
1,-.0084075,-.0080553,-.0079583,-.0079858,-.0085059,-.0082205,-.0081552,-.0071243,-.0073431,-.0074646,-.0007154,-.0048024,-.0062449,.0028013,-.0024419,-.0070127,-.002133,-.0030729,.0032626,-.0013654,"matched (3)",.9149077,137,.4038233,193,.2153021,193,1.350787,199,.7129216,156,.1469329,140,.7384527,200,.56868,165,1.444303,200,.8170821,199
2,-.0067309,-.0063253,-.006198,-.0058101,-.0063169,-.0061567,-.0057923,-.0057108,-.0055096,-.0057501,-.0049148,-.0066469,-.0063929,-.0064427,-.0092448,-.0074018,-.0074702,-.0037973,-.005624,-.0045443,"matched (3)",.2698147,25,-.0508479,116,-.0314398,158,-.1088897,65,-.4634992,32,-.2022334,51,-.2896859,80,.3350667,86,-.0207676,24,.2097036,64
3,-.0071304,-.0066878,-.0063287,-.0062928,-.0069403,-.006457,-.0064304,-.0057307,-.0058875,-.0056259,.0020802,-.0078,-.0075755,-.0031023,-.0013958,-.0034218,-.0049913,-.0034593,-.0031338,-.0028771,"matched (3)",1.291731,185,-.1662935,81,-.1970124,117,.5070115,155,.7988786,168,.4700742,177,.2237948,176,.3963532,111,.4677285,179,.4885988,169
4,-.0071268,-.0065032,-.0062673,-.0064739,-.0068375,-.0064724,-.0066639,-.0052778,-.0057121,-.0059898,-.0003446,-.0042473,-.0058579,-.0053101,-.0059825,-.0059322,-.0090148,-.0035727,-.0039722,-.0037753,"matched (3)",.9516413,142,.3468903,190,.0653317,177,.1797622,112,.125039,115,.0834497,127,-.3527719,68,.3230802,81,.3046025,138,.3697162,130
5,-.0055598,-.0052683,-.0049613,-.0047599,-.0056156,-.0051362,-.0049251,-.0049171,-.0048592,-.004824,-.0016309,-.0039164,-.0063701,-.0081629,.000558,-.0008898,-.0090607,-.0015716,-.0054746,-.0040242,"matched (3)",.706668,90,.2566199,182,-.2839596,96,-.7149207,6,1.099364,197,.8267511,195,-.8397114,11,.6803775,185,-.1266429,11,.165794,49
6,-.0058179,-.0054596,-.0051465,-.0051569,-.0055635,-.005153,-.0051956,-.0047659,-.0050332,-.0050484,-.0059698,-.006385,-.0090032,-.0088759,-.0023362,-.004973,-.0082501,-.0006659,-.0030532,-.0035293,"matched (3)",-.0261212,7,-.1695046,79,-.7493722,8,-.7211605,6,.5800833,136,.0349301,115,-.5878966,29,.8602726,196,.3933831,165,.3009055,103
7,-.0065089,-.0062685,-.0062174,-.0060628,-.0064237,-.0063046,-.0061521,-.0057025,-.0057682,-.0061097,-.0012312,-.0078855,-.0093532,-.0048069,-.0031959,-.0064975,-.0063485,-.0030162,-.0026585,-.0047025,"matched (3)",.810849,114,-.2579504,52,-.5043564,38,.2071481,116,.5024804,127,-.030589,99,-.0319226,136,.4710729,138,.5391176,188,.2303278,72
8,-.0075713,-.0072564,-.0070687,-.0068954,-.007284,-.0070656,-.0069015,-.0062602,-.0062738,-.0063902,-.0017429,-.0072017,-.0085099,.0007196,-.008828,-.0095698,-.0062331,-.0064646,-.0038296,-.003573,"matched (3)",.7698011,105,.0075405,134,-.2038852,115,1.104362,190,-.2119804,66,-.3544259,18,.0968533,160,-.0326575,5,.3895945,165,.4408684,156
9,-.0062235,-.0057196,-.0054884,-.0053197,-.0058432,-.0055202,-.0053625,-.0049089,-.0049218,-.0049958,.0011631,-.0058477,-.0070155,-.0037034,-.0025807,-.0042391,-.0069176,-.001063,-.0037184,-.0040775,"matched (3)",1.186886,175,-.022395,124,-.2782329,98,.3038308,131,.5583338,133,.2320866,151,-.2899916,80,.7834504,192,.2444976,116,.1838012,55
10,-.0075995,-.0071203,-.0067595,-.0065315,-.0071925,-.00674,-.0065572,-.0061624,-.006162,-.0061507,-.0085295,-.010472,-.0106376,-.0087127,-.0085607,-.0082219,-.0092188,-.0023227,-.0042301,-.0037283,"matched (3)",-.1223702,5,-.470728,15,-.5737319,26,-.3339545,34,-.190225,70,-.2198764,46,-.4059033,57,.6230831,177,.3135216,140,.393851,140
11,-.004845,-.0047713,-.00473,-.0047704,-.004982,-.0048524,-.0048859,-.0043109,-.0045451,-.004838,.0011037,-.0038463,-.0071739,-.0066144,3.16e-06,-.003031,-.007401,-.0020241,-.0037796,-.005342,"matched (3)",1.227812,180,.1938712,176,-.5166889,36,-.3865503,28,1.000635,191,.3753649,169,-.5147506,39,.5304594,156,.1684279,84,-.1041681,4
12,-.0056587,-.0053779,-.0051778,-.0051197,-.005542,-.0052735,-.005221,-.0050153,-.005096,-.0050751,.0025058,-.0046874,-.0045891,-.0022029,-.0016577,-.0022999,-.0049373,-.0021253,-.004641,-.0040029,"matched (3)",1.442828,194,.1283954,164,.1137061,183,.5697236,160,.7008902,154,.5638665,183,.0543347,153,.5762311,168,.0892858,51,.2112626,65
13,-.0064821,-.0060606,-.0058884,-.0056425,-.0060958,-.0058903,-.0056746,-.0053758,-.0053226,-.0053983,-.0014323,-.0065719,-.0073753,-.0041588,-.0059464,-.0063574,-.0067583,-.0032196,-.0037127,-.0039548,"matched (3)",.7790344,107,-.0843552,106,-.252519,105,.262954,126,.0245175,103,-.0792997,84,-.1909748,101,.4010897,112,.3024674,136,.2674038,88
14,-.0067868,-.0062436,-.0059513,-.0059288,-.0064427,-.0060321,-.005986,-.0050512,-.0051522,-.0050094,.0023067,-.0044362,-.0075506,-.0030853,-.0011222,-.0027614,-.0067915,-.0026744,-.0039632,-.0044133,"matched (3)",1.339878,190,.2894781,185,-.2687318,100,.4796106,152,.8258247,172,.54221,181,-.1345634,114,.4705441,138,.2307813,110,.1189994,32
15,-.0070691,-.0066028,-.0064611,-.0062864,-.0063448,-.006251,-.0061406,-.0056786,-.0057975,-.0061481,-.0027677,-.0069982,-.0101782,-.0057323,.0000377,-.0058988,-.004291,-.0056291,-.0032174,-.0049551,"matched (3)",.6084815,70,-.0598878,113,-.5753015,26,.0881326,94,1.005943,191,.0563472,121,.3012101,183,.0087198,7,.4450445,175,.1940424,58
16,-.0075563,-.0073459,-.0071757,-.0068713,-.0075018,-.00726,-.0069842,-.0066412,-.0065818,-.0064234,-.0027087,-.010123,-.0105006,-.006333,-.0027076,-.0073815,-.005107,-.0042919,-.0014257,-.0009304,"matched (3)",.6415313,77,-.3780396,28,-.4633616,48,.0783318,93,.6390772,146,-.0167446,103,.2687849,179,.3537474,94,.7833827,198,.8551629,200
17,-.007835,-.0072303,-.007087,-.0069011,-.0068903,-.0067605,-.0066442,-.0058542,-.0059385,-.0059206,-.0079748,-.0110824,-.0108558,-.0063459,-.0034461,-.0063018,-.0082646,-.0034639,-.0058997,-.0035439,"matched (3)",-.0178499,8,-.5327671,10,-.5317848,33,.0804454,93,.4998646,127,.0678494,123,-.2438789,89,.408309,114,.0065338,30,.4014313,143
18,-.0062656,-.0060033,-.0057012,-.0054681,-.0060057,-.0056924,-.0055016,-.0053908,-.0053378,-.005288,-.0035091,-.0091476,-.0080625,-.0055704,-.0110496,-.0083699,-.0085718,-.0047211,-.0053359,-.0041061,"matched (3)",.439941,43,-.5237656,10,-.4141877,60,-.0187123,80,-.8398591,7,-.4703718,5,-.5580619,33,.124233,19,.0003602,28,.2234961,70
19,-.0060042,-.0053334,-.00491,-.0050447,-.0054813,-.0049237,-.0051028,-.0040913,-.0044667,-.0043685,-.0047927,-.0046291,-.0086904,-.0087714,.0007125,-.0013232,-.0103491,.0019536,-.0040624,-.0053204,"matched (3)",.2017736,19,.1320551,165,-.7699246,6,-.7387393,6,1.129991,198,.7312573,191,-1.028112,4,1.477491,200,.090524,52,-.2179056,1
20,-.0063607,-.006031,-.0058393,-.0057393,-.0060898,-.0058386,-.005763,-.0050985,-.0052464,-.0055473,.0007639,-.0080824,-.009408,-.005334,-.0016961,-.0051355,-.0056824,-.0035988,-.003579,-.004015,"matched (3)",1.120091,165,-.3401345,34,-.611142,22,.070614,91,.7214771,158,.120424,134,.0139796,144,.2941479,70,.3178124,142,.2762246,92
21,-.0050567,-.0050874,-.0048344,-.0048287,-.0053564,-.0050443,-.0050342,-.0047313,-.0048741,-.0051903,-.0001891,-.0041185,-.0046239,-.007959,-.0053606,-.0029973,-.0099899,-.0022737,-.0057708,-.0051166,"matched (3)",.9626002,144,.1904453,175,.0435321,173,-.648271,10,-.000784,100,.4058056,172,-.9844221,5,.5194313,152,-.1839806,6,.0141964,12
22,-.007322,-.0069975,-.0068968,-.0065675,-.0070432,-.0069152,-.0065925,-.0064963,-.006301,-.0065834,-.003464,-.0104395,-.0085085,-.0044581,-.0090305,-.0078064,-.0056208,-.0028112,-.002482,-.0025914,"matched (3)",.5269027,54,-.4918741,14,-.2336954,109,.3211785,133,-.2821686,57,-.1288767,71,.1473961,166,.5672607,165,.6060911,193,.6063721,189
23,-.0050868,-.0050517,-.0048443,-.005029,-.0054613,-.0051407,-.0053028,-.0049656,-.0052381,-.0055365,.0016871,-.0053308,-.0045955,-.0031596,-.0022845,-.0048303,-.0052735,-.0028015,-.0034376,-.0032813,"matched (3)",1.331668,189,-.0552496,115,.0513702,175,.3717204,138,.5816909,136,.0603831,122,.0055295,143,.4358127,125,.3437265,150,.4073288,145
24,-.0071163,-.006718,-.0063467,-.0063612,-.007154,-.0066336,-.0066416,-.0058677,-.0060643,-.005971,-.0035354,-.0063717,-.0085118,-.0091347,-.0060807,-.0063148,-.0095971,-.0035111,-.0054953,-.0038107,"matched (3)",.503195,50,.0515564,148,-.3411411,76,-.4359974,24,.1500327,116,.0480564,119,-.4450071,49,.4016157,112,.0938265,53,.3617873,128
25,-.0063429,-.0059346,-.005768,-.0054403,-.0059274,-.0057454,-.0054554,-.0052956,-.005156,-.0052103,-.0037386,-.0095558,-.0089588,-.0059333,-.0063122,-.0051001,-.007611,-.0034861,-.0053157,-.0034145,"matched (3)",.4105886,39,-.6101847,5,-.5531979,29,-.0906318,69,-.0649208,89,.1123141,132,-.395124,59,.3416996,89,-.030979,22,.3446549,121
